role,edge_idx,Q_down_kw,mdot_design_kg_per_s,chosen_DN,inner_diameter_mm,v_calc_m_per_s,v_limit_ms,v_abs_max_ms,dp_per_m_est_pa,dp_per_m_max_pa,status,building_id,Q_building_kw
trunk,8.0,3329.9061281929485,19.915706508331034,150,150.0,1.1618540704580307,1.2,2.5,87.43761156257692,200.0,ok,,
trunk,45.0,3329.9061281929485,19.915706508331034,150,150.0,1.1618540704580307,1.2,2.5,87.43761156257692,200.0,ok,,
trunk,62.0,3329.9061281929485,19.915706508331034,150,150.0,1.1618540704580307,1.2,2.5,87.43761156257692,200.0,ok,,
trunk,40.0,3329.9061281929485,19.915706508331034,150,150.0,1.1618540704580307,1.2,2.5,87.43761156257692,200.0,ok,,
trunk,29.0,3329.9061281929485,19.915706508331034,150,150.0,1.1618540704580307,1.2,2.5,87.43761156257692,200.0,ok,,
trunk,91.0,3329.9061281929485,19.915706508331034,150,150.0,1.1618540704580307,1.2,2.5,87.43761156257692,200.0,ok,,
trunk,43.0,3329.9061281929485,19.915706508331034,150,150.0,1.1618540704580307,1.2,2.5,87.43761156257692,200.0,ok,,
trunk,102.0,3329.9061281929485,19.915706508331034,150,150.0,1.1618540704580307,1.2,2.5,87.43761156257692,200.0,ok,,
trunk,87.0,3329.9061281929485,19.915706508331034,150,150.0,1.1618540704580307,1.2,2.5,87.43761156257692,200.0,ok,,
trunk,39.0,3329.9061281929485,19.915706508331034,150,150.0,1.1618540704580307,1.2,2.5,87.43761156257692,200.0,ok,,
trunk,27.0,3329.9061281929485,19.915706508331034,150,150.0,1.1618540704580307,1.2,2.5,87.43761156257692,200.0,ok,,
trunk,86.0,3329.9061281929485,19.915706508331034,150,150.0,1.1618540704580307,1.2,2.5,87.43761156257692,200.0,ok,,
trunk,90.0,3329.9061281929485,19.915706508331034,150,150.0,1.1618540704580307,1.2,2.5,87.43761156257692,200.0,ok,,
trunk,0.0,3329.9061281929485,19.915706508331034,150,150.0,1.1618540704580307,1.2,2.5,87.43761156257692,200.0,ok,,
trunk,85.0,3329.9061281929485,19.915706508331034,150,150.0,1.1618540704580307,1.2,2.5,87.43761156257692,200.0,ok,,
trunk,100.0,3329.9061281929485,19.915706508331034,150,150.0,1.1618540704580307,1.2,2.5,87.43761156257692,200.0,ok,,
trunk,5.0,3329.9061281929485,19.915706508331034,150,150.0,1.1618540704580307,1.2,2.5,87.43761156257692,200.0,ok,,
trunk,44.0,3329.9061281929485,19.915706508331034,150,150.0,1.1618540704580307,1.2,2.5,87.43761156257692,200.0,ok,,
trunk,84.0,3329.9061281929485,19.915706508331034,150,150.0,1.1618540704580307,1.2,2.5,87.43761156257692,200.0,ok,,
trunk,63.0,3329.9061281929485,19.915706508331034,150,150.0,1.1618540704580307,1.2,2.5,87.43761156257692,200.0,ok,,
trunk,118.0,3329.9061281929485,19.915706508331034,150,150.0,1.1618540704580307,1.2,2.5,87.43761156257692,200.0,ok,,
trunk,23.0,47.302046680270855,0.2829069777528161,100,100.0,0.0371348816037522,1.2,2.5,0.2877208910593816,200.0,ok,,
trunk,101.0,3282.6040815126776,19.632799530578215,150,150.0,1.1453496786341408,1.2,2.5,85.07539950910419,200.0,ok,,
trunk,96.0,47.302046680270855,0.2829069777528161,100,100.0,0.0371348816037522,1.2,2.5,0.2877208910593816,200.0,ok,,
trunk,46.0,3282.6040815126776,19.632799530578215,150,150.0,1.1453496786341408,1.2,2.5,85.07539950910419,200.0,ok,,
trunk,112.0,47.302046680270855,0.2829069777528161,100,100.0,0.0371348816037522,1.2,2.5,0.2877208910593816,200.0,ok,,
trunk,105.0,3282.6040815126776,19.632799530578215,150,150.0,1.1453496786341408,1.2,2.5,85.07539950910419,200.0,ok,,
trunk,99.0,47.302046680270855,0.2829069777528161,100,100.0,0.0371348816037522,1.2,2.5,0.2877208910593816,200.0,ok,,
trunk,110.0,3282.6040815126776,19.632799530578215,150,150.0,1.1453496786341408,1.2,2.5,85.07539950910419,200.0,ok,,
trunk,30.0,47.302046680270855,0.2829069777528161,100,100.0,0.0371348816037522,1.2,2.5,0.2877208910593816,200.0,ok,,
trunk,18.0,3282.6040815126776,19.632799530578215,150,150.0,1.1453496786341408,1.2,2.5,85.07539950910419,200.0,ok,,
trunk,95.0,47.302046680270855,0.2829069777528161,100,100.0,0.0371348816037522,1.2,2.5,0.2877208910593816,200.0,ok,,
trunk,47.0,3282.6040815126776,19.632799530578215,150,150.0,1.1453496786341408,1.2,2.5,85.07539950910419,200.0,ok,,
trunk,4.0,47.302046680270855,0.2829069777528161,100,100.0,0.0371348816037522,1.2,2.5,0.2877208910593816,200.0,ok,,
trunk,48.0,3276.571789819607,19.59672123097851,150,150.0,1.14324492180678,1.2,2.5,84.77643973521832,200.0,ok,,
trunk,10.0,47.302046680270855,0.2829069777528161,100,100.0,0.0371348816037522,1.2,2.5,0.2877208910593816,200.0,ok,,
trunk,49.0,3269.4764828175666,19.55428518431559,150,150.0,1.1407692630331967,1.2,2.5,84.42545897793762,200.0,ok,,
trunk,24.0,47.302046680270855,0.2829069777528161,100,100.0,0.0371348816037522,1.2,2.5,0.2877208910593816,200.0,ok,,
trunk,50.0,3218.076063861749,19.246866410656395,150,150.0,1.122834887802183,1.2,2.5,81.9042245438567,200.0,ok,,
trunk,97.0,47.302046680270855,0.2829069777528161,100,100.0,0.0371348816037522,1.2,2.5,0.2877208910593816,200.0,ok,,
trunk,51.0,3132.735999499058,18.736459327147475,150,150.0,1.093058462480923,1.2,2.5,77.8011794645505,200.0,ok,,
trunk,41.0,47.302046680270855,0.2829069777528161,100,100.0,0.0371348816037522,1.2,2.5,0.2877208910593816,200.0,ok,,
trunk,52.0,3073.6511325265897,18.383080936163815,150,150.0,1.0724428683615517,1.2,2.5,75.02113440603057,200.0,ok,,
trunk,42.0,2.30533440499515,0.013787885197339415,100,100.0,0.0018098227496413531,1.2,2.5,0.005791432798852329,200.0,ok,,
trunk,53.0,3022.8483928609558,18.079236799407628,150,150.0,1.0547170323774098,1.2,2.5,72.67048992445551,200.0,ok,,
trunk,106.0,2.30533440499515,0.013787885197339415,100,100.0,0.0018098227496413531,1.2,2.5,0.005791432798852329,200.0,ok,,
trunk,54.0,2965.2577241139475,17.7347950006815,140,140.0,1.1877047292572667,1.2,2.5,99.32859906789255,200.0,ok,,
trunk,22.0,2.30533440499515,0.013787885197339415,100,100.0,0.0018098227496413531,1.2,2.5,0.005791432798852329,200.0,ok,,
trunk,55.0,2877.100028811818,17.20753605748695,140,140.0,1.1523940340757721,1.2,2.5,93.75146667554856,200.0,ok,,
trunk,56.0,2825.7423012338704,16.90037261503511,140,140.0,1.131823202936141,1.2,2.5,90.57546218199221,200.0,ok,,
trunk,57.0,2774.8968701903664,16.596273147071567,140,140.0,1.1114575671195985,1.2,2.5,87.48413279023518,200.0,ok,,
trunk,58.0,2667.5280548466108,15.954115160565854,140,140.0,1.0684520473222818,1.2,2.5,81.1295636788459,200.0,ok,,
trunk,59.0,2616.597241047366,15.649505030187596,140,140.0,1.0480522122852247,1.2,2.5,78.19753248071939,200.0,ok,,
trunk,60.0,2569.551342634317,15.36813003967893,140,140.0,1.0292084417815894,1.2,2.5,75.53621416276494,200.0,ok,,
trunk,61.0,2519.218208125256,15.067094546203684,140,140.0,1.0090480012881355,1.2,2.5,72.73900124978017,200.0,ok,,
trunk,31.0,2389.87187145388,14.293492054149999,140,140.0,0.9572396021303182,1.2,2.5,65.7881984470596,200.0,ok,,
trunk,134.0,129.346336671376,0.7736024920536843,100,100.0,0.10154446234932167,1.2,2.5,1.6394889260660421,200.0,ok,,
trunk,32.0,2333.775400932331,13.957986847681406,125,125.0,1.1725763839578565,1.2,2.5,111.54293771789116,200.0,ok,,
trunk,135.0,121.09409332905078,0.7242469696713564,100,100.0,0.09506596721032773,1.2,2.5,1.4599731181139697,200.0,ok,,
trunk,33.0,2274.434385692641,13.603076469453596,125,125.0,1.1427612299193204,1.2,2.5,106.17882918909288,200.0,ok,,
trunk,111.0,121.09409332905078,0.7242469696713564,100,100.0,0.09506596721032773,1.2,2.5,1.4599731181139697,200.0,ok,,
trunk,34.0,2210.2692447536097,13.219313664794317,125,125.0,1.1105222540057094,1.2,2.5,100.5248962938559,200.0,ok,,
trunk,88.0,8.487045920611772,0.05075984402279768,100,100.0,0.006662828937568534,1.2,2.5,0.02132105260021931,200.0,ok,,
trunk,104.0,112.607047408439,0.6734871256485586,100,100.0,0.08840313827275917,1.2,2.5,1.2851961192789125,200.0,ok,,
trunk,35.0,2162.0279877601924,12.930789400479618,125,125.0,1.0862840352549565,1.2,2.5,96.37421334625347,200.0,ok,,
trunk,94.0,8.487045920611772,0.05075984402279768,100,100.0,0.006662828937568534,1.2,2.5,0.02132105260021931,200.0,ok,,
trunk,103.0,112.607047408439,0.6734871256485586,100,100.0,0.08840313827275917,1.2,2.5,1.2851961192789125,200.0,ok,,
trunk,36.0,2106.1876655058654,12.596816181255177,125,125.0,1.0582277608071833,1.2,2.5,91.67704739947148,200.0,ok,,
trunk,89.0,8.487045920611772,0.05075984402279768,100,100.0,0.006662828937568534,1.2,2.5,0.02132105260021931,200.0,ok,,
trunk,98.0,112.607047408439,0.6734871256485586,100,100.0,0.08840313827275917,1.2,2.5,1.2851961192789125,200.0,ok,,
trunk,37.0,2101.747762207356,12.57026173568993,125,125.0,1.05599698669207,1.2,2.5,91.30851677833346,200.0,ok,,
trunk,136.0,8.487045920611772,0.05075984402279768,100,100.0,0.006662828937568534,1.2,2.5,0.02132105260021931,200.0,ok,,
trunk,83.0,112.607047408439,0.6734871256485586,100,100.0,0.08840313827275917,1.2,2.5,1.2851961192789125,200.0,ok,,
trunk,92.0,2101.747762207356,12.57026173568993,125,125.0,1.05599698669207,1.2,2.5,91.30851677833346,200.0,ok,,
trunk,93.0,112.607047408439,0.6734871256485586,100,100.0,0.08840313827275917,1.2,2.5,1.2851961192789125,200.0,ok,,
trunk,28.0,1554.230841021008,9.295639001321819,110,110.0,1.0083986683194526,1.2,2.5,98.03713746511863,200.0,ok,,
trunk,64.0,547.5169211863481,3.2746227343681107,100,100.0,0.4298329030398213,1.2,2.5,22.22991227714003,200.0,ok,,
trunk,1.0,112.607047408439,0.6734871256485586,100,100.0,0.08840313827275917,1.2,2.5,1.2851961192789125,200.0,ok,,
trunk,74.0,1554.230841021008,9.295639001321819,110,110.0,1.0083986683194526,1.2,2.5,98.03713746511863,200.0,ok,,
trunk,65.0,503.28865371273747,3.010099603545081,100,100.0,0.39511111843559094,1.2,2.5,19.02153937552185,200.0,ok,,
trunk,133.0,112.607047408439,0.6734871256485586,100,100.0,0.08840313827275917,1.2,2.5,1.2851961192789125,200.0,ok,,
trunk,75.0,1503.6415582447255,8.993071520602426,100,100.0,1.1804468338827412,1.2,2.5,149.1619119905851,200.0,ok,,
trunk,66.0,421.5773564690205,2.521395672661606,100,100.0,0.3309629565316363,1.2,2.5,13.725144303682955,200.0,ok,,
trunk,25.0,112.607047408439,0.6734871256485586,100,100.0,0.08840313827275917,1.2,2.5,1.2851961192789125,200.0,ok,,
trunk,76.0,1446.2643463870684,8.649906377913087,100,100.0,1.1354023565583338,1.2,2.5,138.46670755905728,200.0,ok,,
trunk,67.0,341.616405717985,2.0431603212798146,100,100.0,0.2681889193079649,1.2,2.5,9.341364023075412,200.0,ok,,
trunk,21.0,112.607047408439,0.6734871256485586,100,100.0,0.08840313827275917,1.2,2.5,1.2851961192789125,200.0,ok,,
trunk,77.0,1391.3205430680173,8.321295114043165,100,100.0,1.0922682476918817,1.2,2.5,128.5917910601325,200.0,ok,,
trunk,68.0,303.4076225240839,1.8146388906942816,100,100.0,0.2381927829944647,1.2,2.5,7.528621315355233,200.0,ok,,
trunk,132.0,112.607047408439,0.6734871256485586,100,100.0,0.08840313827275917,1.2,2.5,1.2851961192789125,200.0,ok,,
trunk,78.0,1340.9447171810862,8.020004289360562,100,100.0,1.0527202690886077,1.2,2.5,119.85329827431767,200.0,ok,,
trunk,69.0,230.0638353429419,1.3759798764530018,100,100.0,0.18061360736698612,1.2,2.5,4.567248088924964,200.0,ok,,
trunk,38.0,112.607047408439,0.6734871256485586,100,100.0,0.08840313827275917,1.2,2.5,1.2851961192789125,200.0,ok,,
trunk,79.0,1298.8083272231192,7.767992387698082,100,100.0,1.0196407310534963,1.2,2.5,112.77595325830862,200.0,ok,,
trunk,70.0,183.87176448729835,1.0997115100914974,100,100.0,0.14435012190195012,1.2,2.5,3.0578098545152224,200.0,ok,,
trunk,80.0,1248.6886496034099,7.468233550259629,100,100.0,0.9802938438668491,1.2,2.5,104.6329307549058,200.0,ok,,
trunk,71.0,168.28941156464595,1.0065156194057772,100,100.0,0.13211706072381876,1.2,2.5,2.611819747855755,200.0,ok,,
trunk,81.0,1209.7114216078437,7.235116157941649,100,100.0,0.9496944333034685,1.2,2.5,98.50706332066925,200.0,ok,,
trunk,72.0,115.35210300549804,0.6899049222816869,100,100.0,0.09055816795427657,1.2,2.5,1.3406280570930424,200.0,ok,,
trunk,82.0,1167.8738712949687,6.984891574730675,100,100.0,0.9168495019210884,1.2,2.5,92.13314436007377,200.0,ok,,
trunk,73.0,68.73311837115169,0.41108324384660105,100,100.0,0.05395953012819589,1.2,2.5,0.5451393019131235,200.0,ok,,
trunk,113.0,1167.8738712949687,6.984891574730675,100,100.0,0.9168495019210884,1.2,2.5,92.13314436007377,200.0,ok,,
trunk,114.0,1162.7850590528312,6.954456094813584,100,100.0,0.9128544857774356,1.2,2.5,91.37210488670772,200.0,ok,,
trunk,115.0,1157.9011654244712,6.925246204691813,100,100.0,0.9090203427670842,1.2,2.5,90.64461592581446,200.0,ok,,
trunk,116.0,1153.5893362595727,6.899457752748641,100,100.0,0.9056353039205328,1.2,2.5,90.00470462304018,200.0,ok,,
trunk,117.0,1148.1163016166029,6.866724291965328,100,100.0,0.9013386506519397,1.2,2.5,89.19565498100899,200.0,ok,,
trunk,2.0,1148.1163016166029,6.866724291965328,100,100.0,0.9013386506519397,1.2,2.5,89.19565498100899,200.0,ok,,
